1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
99,4,5277707.22080144,277418800000,3527734880000,95.7441860465116,891675.893565046,90.7057425018288,94,1.74418604651163,-3.29425749817118
100,1,3676077.20979081,1214836280000,2279350280000,0,819096.106778341,87.2035097650722,94,-94,-6.79649023492783
101,1,3251855.93067656,1257416840000,1881931720000,0,771486.212804536,92.9430922180322,94,-94,-1.05690778196778
102,1,2870894.31144429,1152255760000,1731609440000,0,821451.263539209,90.3606557377049,94,-94,-3.63934426229508
103,1,2725715.90194374,1180642800000,1657416040000,0,805591.69103046,86.7691708836123,94,-94,-7.2308291163877
104,2,3835893.2505302,167096440000,2449672520000,91.3513513513514,859962.893359031,86.0400316038978,94,-2.64864864864865,-7.95996839610218
105,2,2913892.70975845,494837720000,1819996360000,0,846466.84298698,90.0765685926976,94,-94,-3.92343140730237
106,3,7128267.21270104,177419000000,4392894440000,94.8109090909091,1045676.43302667,89.8598913203113,94,0.810909090909092,-4.14010867968865
107,2,3801569.22143423,787095200000,2413543560000,0,835353.683881154,95.1213579256883,94,-94,1.12135792568832
108,1,2828401.29891879,1125159040000,1819996360000,0,854760.303814124,88.9751861042184,94,-94,-5.02481389578163
109,1,3058737.51928889,949675520000,1858060800000,0,806727.292939831,86.1479166666667,94,-94,-7.85208333333334
110,2,3286391.29995599,394837920000,1936125160000,0,796320.271047955,92.2269243585472,94,-94,-1.77307564145285
111,1,3850258.43571058,1016772160000,2296769600000,0,783812.073533301,92.3151685393258,94,-94,-1.68483146067416
112,1,3151554.21868162,994836720000,1924512280000,0,808380.26453931,88.7093530003352,94,-94,-5.29064699966477
113,3,3973291.45894012,264515600000,2508382080000,102.963414634146,857680.738563549,92.3366769547325,94,8.96341463414635,-1.66332304526749
114,1,2534355.83252398,1056126920000,1632254800000,0,850905.300533085,87.7806324110672,94,-94,-6.21936758893281
115,2,3780252.29812202,741288840000,2323866320000,0,803769.920080363,86.9453081621322,94,-94,-7.05469183786785
116,1,4743294.77945019,2140640880000,3475476920000,0,971348.447990266,92.0551327269352,94,-94,-1.94486727306479
