1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
65,1,21.5779895819339,7.5181791639197,56.725985820264,520.842266462481,3.61821456348314,363.117515729653,275,245.842266462481,88.117515729653
66,1,12.2029785838434,13.6662766731588,31.4888514752226,0,3.42488785169468,290.269104204753,275,-275,15.2691042047532
67,1,14.550785412359,19.7337811438872,38.2932065837625,0,3.46181503596047,335.712868310283,275,-275,60.7128683102826
68,1,12.889749843899,3.9375455958048,35.8293622635806,459.970760233918,3.6832364113724,302.04498714653,275,184.970760233918,27.0449871465295
69,1,18.7402057946885,5.11190129981676,49.2423465299917,552.29954954955,3.46732620986062,325.662613981763,275,277.29954954955,50.6626139817629
70,1,20.4313400951868,6.2171772565339,55.3098510007201,619.662962962963,3.58931858845208,417.555995004163,275,344.662962962963,142.555995004163
71,1,11.7728011886321,3.61517344176231,28.8407944955878,404.328025477707,3.22758799602962,294.735329341317,275,129.328025477707,19.7353293413174
72,1,18.0336908774536,4.76650256334266,48.6897085516331,574.386473429952,3.59244644234729,309.641286356113,275,299.386473429952,34.6412863561126
73,1,13.5050971781448,4.45564370051596,33.2043318663774,357.708010335917,3.29197943323532,301.441747572816,275,82.7080103359173,26.4417475728155
74,1,18.857135453031,4.2599177498473,47.9298313313901,474.983783783784,3.40109538623336,334.564016334374,275,199.983783783784,59.5640163343742
75,1,20.5312032166878,38.5464989905102,58.6832453269505,0,3.76959040373798,270.370021581322,275,-275,-4.62997841867764
76,1,12.9643081888475,4.04116521674704,35.3112641588694,448.22792022792,3.59305860848249,307.95272253016,275,173.22792022792,32.9527225301597
77,1,18.9969212167344,4.85860889306909,49.9331440029399,656.850710900474,3.4497318904832,341.951579432788,275,381.850710900474,66.9515794327876
78,2,21.6799762451033,18.7896912641913,56.253940880416,0,3.64147260787467,326.011665984445,275,-275,51.0116659844454
79,1,15.2263517535562,4.08721838161025,40.3655990026071,586.839436619718,3.49831819196232,324.784084426697,275,311.839436619718,49.7840844266971
80,1,12.310178594074,20.8505703918202,33.4691375643408,0,3.60614322205845,306.570347437221,275,-275,31.5703474372205
81,1,15.3505319383793,4.36353737078953,39.5826951999325,559.87598944591,3.40377644998062,325.758289703316,275,284.87598944591,50.7582897033159
82,1,20.2557171643271,5.30762725048542,53.5137775710548,624.741865509761,3.49477698394191,317.599612736661,275,349.741865509761,42.5996127366609
83,1,22.7230069369353,4.49018357416337,45.765332582819,589.11282051282,3.11268990041822,325.008050314465,275,314.11282051282,50.0080503144654
84,1,12.3424840319219,4.34051078835793,31.1549660299643,465.615384615385,3.33100943167767,340.39837398374,275,190.615384615385,65.3983739837398
85,2,21.8461488658815,15.4508368116083,60.3411592620263,0,3.72333346771108,327.607899255867,275,-275,52.6078992558672
86,1,20.0997727656167,8.39318929632077,52.4775813616324,602.879286694102,3.47767934350233,371.375603334796,275,327.879286694102,96.375603334796
